,bacteria,mean,std
0,AM,0.2617039557292585,0.051750146374963765
1,BA,0.23371737894672762,0.08349148889622157
2,BOB,0.11240513267037926,0.010273639314876244
3,BOV,0.09014548678055703,0.04506866006655333
4,BT,0.3332318274638961,0.026069541075115114
5,EC,0.21373763856821248,0.014852748564909821
6,FP,0.2621705239435294,0.027777935593591492
7,LB,0.10967830140069752,0.009150045904547684
8,LJ,0.29405623019497196,0.028997212962097504
9,RI,0.16284153439486332,0.04176667372187144
