,bacteria,medium,eps_growthrate,eps_yield
0,AM,BOB,-0.6082264681440439,-0.6504065666434421
1,AM,BOV,0.11045026850670243,-0.2936349719246945
2,AM,EC,-1.037572571377694,-1.381375331532317
3,AM,FP,-1.225840703185012,-1.0087031205104044
4,AM,LB,-0.8837996735073453,-0.5157844413104984
5,AM,LJ,0.48369236723100506,0.06011791200658845
6,AM,RI,-0.9604975613989958,-0.555267948931799
7,BA,AM,0.14894874958129206,-0.014361565398483208
8,BA,BOB,0.11516626940075456,-0.017962973530172434
9,BA,BOV,0.21115612240452403,-0.03939708381491141
10,BA,BT,-0.5700062174654782,-0.7955606464238983
11,BA,EC,0.2187684182699801,0.061429071138209446
12,BA,FP,0.36666635516404333,-0.09355000936387745
13,BA,LB,0.35213958953552105,0.06691534036169025
14,BA,LJ,0.19822042877851687,0.12076704572643704
15,BA,RI,0.327050394849163,-0.08126903799402296
16,BOB,AM,-0.6599643514247369,-1.6316435658769843
17,BOB,BA,0.10971735268754094,-1.7351598141486697
18,BOB,BOV,0.7811739597731072,0.16046987907120322
19,BOB,BT,-0.4635992809801194,-1.6996283035888529
20,BOB,EC,0.20293432420116403,-1.1895353640719089
21,BOB,FP,-0.2794657427870592,-0.2604840875924196
22,BOB,LB,0.11229829105407767,0.22739646448940878
23,BOB,LJ,0.21027031871012425,-0.023266678372735213
24,BOB,RI,-0.03664375230010925,0.09737630045487657
25,BOV,AM,-0.4104710785568272,-0.39866480967895485
26,BOV,BA,-0.5674778652966971,-1.5294074258332562
27,BOV,BOB,-0.5503613758268152,-0.6846168630771156
28,BOV,BT,-0.46795624518616485,-1.4619877645492427
29,BOV,EC,0.5905316310110796,-0.0328960383546756
30,BOV,FP,0.643579549633931,-0.0019116529934556392
31,BOV,LB,0.9044342988328198,0.7007383539332102
32,BOV,LJ,0.4939591428108797,0.43020757980836866
33,BOV,RI,0.8849590041303175,0.707861466746716
34,BT,AM,-0.013750546146267462,-0.03684708334917086
35,BT,BA,-1.2427990855269861,-1.4027619443407926
36,BT,BOB,-1.7263255739400551,-1.6511317875692881
37,BT,BOV,-1.4871243040812714,-1.6737954373784494
38,BT,EC,-0.9651591794618074,-1.172261483638639
39,BT,FP,-1.2826918913173948,-1.2561194156361706
40,BT,LB,-1.134297584541044,-1.2426992311213865
41,BT,LJ,0.17805616029216442,0.053352265800039954
42,BT,RI,-1.1688972745842803,-1.2794427375824426
43,EC,AM,0.059094805269101505,-0.8301369287926429
44,EC,BA,-0.977985737320258,-2.6108968822795173
45,EC,BOB,0.07551168186872917,-1.4212774268383697
46,EC,BOV,0.3652851350271883,-1.0964548378938055
47,EC,BT,-1.085407574396966,-2.550829348249722
48,EC,FP,0.26587915068420703,-1.3907096725550696
49,EC,LB,0.14467066241054116,-0.882291939908146
50,EC,LJ,0.24300625359912206,-1.2937520602671262
51,EC,RI,0.17922494893425903,-1.2368340914227216
52,FP,AM,0.11867809233833052,-0.00478409180075111
53,FP,EC,-0.2502019509436997,-0.9022923576204154
54,FP,LB,0.5681121442179057,-0.05783375741900717
55,FP,LJ,0.18459350551561535,0.14339999659411817
56,FP,RI,0.4416374655320013,-0.07780498245349901
57,LB,AM,-0.521094599356722,-1.112931961885994
58,LB,BA,-0.4323681475196414,-2.057761434949948
59,LB,BOB,-0.7541595724294912,-0.8180019912070179
60,LB,BOV,0.14614995722635601,0.18402902908355806
61,LB,BT,-0.7442937171787976,-1.9905146312480064
62,LB,EC,-0.41486943584553726,-0.25849184591600965
63,LB,FP,0.07738350378674953,0.08946534099135126
64,LB,LJ,0.1457246905783894,-0.2627404411800328
65,LB,RI,0.40518775465951873,0.5246684953577886
66,LJ,AM,-0.0966596955570244,-0.10610189213286407
67,LJ,BA,-0.4739476217562103,-0.25609442122238607
68,LJ,BOB,0.05678986303161687,-0.14675273027047414
69,LJ,BOV,0.3423316557199275,0.18157124760264423
70,LJ,BT,-0.5215193419305377,-0.282426272942054
71,LJ,EC,-0.5637257006800386,-0.0461606357488711
72,LJ,FP,-0.11161014991567866,0.007712221775520382
73,LJ,LB,-0.02691859893257444,-0.031009396956053443
74,LJ,RI,0.010026546034808572,0.0769393651984793
75,RI,LB,0.30955750541817173,0.19693742128406416
76,RI,LJ,0.4755524324649517,0.6439438952530909
