culture,focal_spec,equation,Bio1_T1,Bio1_T2,Bio2_T1,Bio2_T2,Bio1_avg,Bio2_avg,Bio1_std,Bio2_std,Unnamed: 11,in_vitro_ct,Std,Community,solutions,std_solutions,percentage,percentage_std
['AM' 'EC' 'FP' 'LJ' ],AM,Y = -2.536*X + 23.01,22.5029,22.805,22.2374,22.6169,22.653950000000002,22.42715,0.21361695859645558,0.26834702346029493,0.24098199102837525,22.540550000000003,0.16037181797310954,1,0.185114353312302,0.06323809856983814,20.8018817805840,5.8283816664736445
['AM' 'EC' 'FP' 'LJ' ],EC,Y = -4.708*X + 16.81,16.4275,16.5457,16.1585,16.5106,16.4866,16.33455,0.08358002153625108,0.24897229765578344,0.16627615959601727,16.410575,0.10751558607941393,1,0.0848396346644010,0.022836785488405675,9.53369643692304,2.504199744273053
['AM' 'EC' 'FP' 'LJ' ],FP,Y = -2.274*X + 22.44,21.4321,21.6432,21.1809,21.5371,21.53765,21.359,0.14927024150848148,0.25187143545864654,0.200570838483564,21.448325,0.12632462645897496,1,0.436092788038698,0.05555172667501098,49.0051174305316,5.063736523852453
['AM' 'EC' 'FP' 'LJ' ],LJ,Y = -3.937*X + 16.98,16.2909,16.3571,16.1295,16.2473,16.323999999999998,16.1884,0.04681046891454837,0.0832971788237746,0.06505382386916149,16.2562,0.09588367952889346,1,0.183845567691135,0.02435450330934556,20.6593043519614,2.968934202014287
['AM' 'EC' 'LJ' 'LB' ],AM,Y = -2.536*X + 23.01,21.9762,22.393,22.0024,22.3108,22.1846,22.1566,0.29472210639855445,0.21807173131793048,0.25639691885824245,22.1706,0.019798989873222407,2,0.330993690851735,0.007807172662942589,36.9735255155748,1.439174703844243
['AM' 'EC' 'LJ' 'LB' ],EC,Y = -4.708*X + 16.81,16.3227,16.7489,16.5192,16.8288,16.535800000000002,16.674,0.3013689101417051,0.21892025945535487,0.26014458479853,16.6049,0.09772215715997921,2,0.0435641461342396,0.020756617918432287,4.86631652861335,2.210243966923656
['AM' 'EC' 'LJ' 'LB' ],LJ,Y = -3.937*X + 16.98,15.7799,16.0521,15.6478,15.9369,15.916,15.792349999999999,0.1924744658389781,0.20442457044103052,0.1984495181400043,15.854175,0.08743375349371757,2,0.285960121920244,0.022208217803839872,31.9430676670845,1.9027806485163234
['AM' 'EC' 'LJ' 'LB' ],LB,Y = -4.402*X + 24.11,22.885,23.2025,23.0518,23.1681,23.043750000000003,23.109949999999998,0.22450640302672814,0.08223651865199474,0.15337146083936143,23.07685,0.04681046891454586,2,0.234700136301681,0.010633909339969527,26.2170902887274,1.270008411690629
['AM' 'EC' 'LJ' 'BOV'],BOV,Y = -2.401*X + 10.82,10.0765,10.18,10.0506,10.2172,10.12825,10.1339,0.07318555185280792,0.11780398974567935,0.09549477079924364,10.131075,0.003995153313704731,3,0.286932528113286,0.001663953899918672,29.7616961331441,0.45245589878748266
['AM' 'EC' 'LJ' 'BOV'],LJ,Y = -3.937*X + 16.98,15.74,16.0041,15.7358,15.979,15.872050000000002,15.857399999999998,0.18674690091136784,0.17196836918456826,0.17935763504796803,15.864725,0.010359114344385157,3,0.283280416560833,0.002631220305914442,29.3828857034477,0.4674392968881373
['AM' 'EC' 'LJ' 'BOV'],AM,Y = -2.536*X + 23.01,22.2411,22.3726,22.091,22.4557,22.306849999999997,22.27335,0.09298454172603034,0.2578818430987333,0.1754331924123818,22.2901,0.023688077169746892,3,0.283872239747634,0.009340724436020067,29.4442717790033,0.7579419333412946
['AM' 'EC' 'LJ' 'BOV'],EC,Y = -4.708*X + 16.81,16.2392,16.4132,16.2301,16.2857,16.3262,16.2579,0.1230365799264589,0.039315137033970854,0.08117585848021489,16.29205,0.04829539315504169,3,0.110014868309261,0.01025815487575227,11.4111463844049,0.9497739373819629
['LJ' 'BOV' 'BT'],LJ,Y = -3.937*X + 16.98,15.4013,15.5891,15.3677,15.6478,15.4952,15.50775,0.13279465350683314,0.1980606094103526,0.16542763145859288,15.501475,0.008874190103890586,4,0.375546101092202,0.0022540487944857977,38.9507798443933,0.523867303492998
['LJ' 'BOV' 'BT'],BOV,Y = -2.401*X + 10.82,9.5414,9.7337,9.5932,9.7481,9.637550000000001,9.67065,0.13597663402217397,0.10953084040579718,0.12275373721398558,9.6541,0.023405234457274184,4,0.485589337775927,0.009748119307486125,50.3642118384053,0.6566531181034623
['LJ' 'BOV' 'BT'],BT,Y = -4.826*X + 20.31,19.7195,19.853,19.6882,19.9906,19.786250000000003,19.839399999999998,0.09439875528840515,0.21382909063081354,0.15411392295960935,19.812825,0.037582725420061566,4,0.103020099461252,0.007787551889776537,10.6850083172013,0.7298750872310007
['EC' 'FP' 'LJ' 'LB'],FP,Y = -2.274*X + 22.44,21.4032,21.7316,21.2682,21.6203,21.5674,21.44425,0.23221386694166363,0.24897229765578344,0.24059308229872353,21.505825,0.0870802001031226,5,0.410806948109059,0.03829384349301786,43.3315092789396,2.4241660979279605
['EC' 'FP' 'LJ' 'LB'],LJ,Y = -3.937*X + 16.98,15.7444,16.0318,15.7954,16.0763,15.888100000000001,15.93585,0.20322248891301367,0.19862629483530053,0.20092439187415712,15.911975000000002,0.03376434880165683,5,0.271278892557785,0.008576161747944332,28.6142284208092,1.4013358254594106
['EC' 'FP' 'LJ' 'LB'],LB,Y = -4.402*X + 24.11,22.9503,23.1293,22.8786,23.1352,23.0398,23.0069,0.12657211383239347,0.18144360005246976,0.15400785694243163,23.02335,0.02326381310103595,5,0.246853702862335,0.0052848280556646865,26.0378836467007,1.2186656445612136
['EC' 'FP' 'LJ' 'LB'],EC,Y = -4.708*X + 16.81,16.4954,16.8496,16.6825,16.8525,16.6725,16.7675,0.25045722189627423,0.12020815280171177,0.185332687348993,16.72,0.06717514421272121,5,0.0191163976210705,0.01426829741136814,2.01637865355046,1.4770620436615014
['AM' 'EC' 'FP' 'LB'],FP,Y = -2.274*X + 22.44,21.0894,21.5496,21.348,21.8137,21.3195,21.580849999999998,0.32541054070204944,0.3292996279985764,0.3273550843503129,21.450175,0.18480235726310182,6,0.435279243623571,0.08126752738043176,50.1314428232074,4.967287282279422
['AM' 'EC' 'FP' 'LB'],LB,Y = -4.402*X + 24.11,22.6774,23.1433,22.6869,23.0936,22.91035,22.89025,0.32944104935481344,0.28758032790856686,0.3085106886316902,22.9003,0.014212846301849139,6,0.274806905951840,0.003228724739175179,31.6497211731536,3.1586655005818134
