Consortium,Species,equation,Bio1_T1,Bio1_T2,Bio1_T3,Bio2_T1,Bio2_T2,Bio2_T3,Bio3_T1,Bio3_T2,Bio3_T3,Avg_Bio1,Avg_Bio2,Avg_Bio3,Avg Post Invasion,Std Post Invasion,Avg_Bio1.1,Avg_Bio2.1,Avg_Bio3.1,Avg Pre Invasion,Std Pre Invasion,solutions,std_solutions,solutions_pre,std_solutions_pre,percentage_post,percentage_post_std,percentage_pre,percentage_pre_std
1,BOV,Y = -2.401*X + 10.82,10.2257,10.3088,10.2104,10.2601,10.3069,10.2483,10.2412,10.2575,10.1983,10.2483,10.271766666666666,10.232333333333333,10.2508,0.01619535827419779,10.834466666666666,10.910933333333332,10.828499999999998,10.857966666666664,0.03753221825854989,0.237067888379842,0.006745255424488876,0.01,0.01563191097815489,7.63174590497049,0.20493397050473228,0.632048679815026,0.9817835709028829
1,LB,Y = -4.402*X + 24.11,16.6352,16.7498,16.6181,16.7725,16.8947,16.7108,16.6783,16.7255,16.5766,16.6677,16.792666666666666,16.660133333333334,16.706833333333332,0.06077189286967181,20.630133333333333,20.722333333333335,20.605933333333336,20.652800000000003,0.05015026309889986,1.68177343631683,0.013805518598289825,0.785370286233530,0.011392608609472934,54.1400508665030,0.2940472900900218,49.6392252579852,0.6565620484326824
1,LJ,Y = -3.937*X + 16.98,12.2721,12.3235,12.2558,12.3015,12.4833,12.297,12.2803,12.2963,12.2336,12.2838,12.3606,12.270066666666665,12.30482222222222,0.03983734831772437,13.866833333333334,13.925033333333333,13.855399999999998,13.882422222222223,0.030490002409209738,1.18749753055062,0.01011870671011541,0.786786329128214,0.007744476100891476,38.2282032285265,0.27612429968201185,49.7287260621998,0.6558771325262437
2,BOV,Y = -2.401*X + 10.82,10.2942,10.3025,10.2895,10.3488,10.3832,10.3109,10.2921,10.3385,10.2583,10.295399999999999,10.347633333333333,10.2963,10.31311111111111,0.024413662436845403,10.844966666666666,10.918066666666666,10.825533333333334,10.862855555555555,0.03983811996654844,0.211115738812532,0.010168122630922701,0.01,0.01659230319306474,7.34459809180362,0.3418376878311304,0.521446455013092,0.8607410944513489
2,FP,Y = -2.274*X + 22.44,19.4888,19.4896,19.4787,19.627,19.8612,19.5082,19.5317,19.5026,19.4288,19.485699999999998,19.665466666666664,19.4877,19.546288888888885,0.08427537021390763,20.145500000000002,20.288466666666665,20.102166666666665,20.17871111111111,0.07959964793023369,1.27252027753347,0.03706040906504293,0.994410241375941,0.03500424271338333,44.2702664174791,0.7466208279700992,51.8531695194198,0.988904246172932
2,LJ,Y = -3.937*X + 16.98,11.4757,11.5367,11.4678,11.4971,11.676,11.4744,11.4979,11.4961,11.4181,11.4934,11.549166666666665,11.4707,11.504422222222223,0.0329683836574919,13.378733333333331,13.3977,13.376199999999999,13.384211111111108,0.009593992461850364,1.39079953715463,0.008373986196975337,0.913332204442187,0.002436878959067911,48.3851354907172,0.664135337157107,47.6253840255671,0.9643122360723504
3,BOV,Y = -2.401*X + 10.82,10.175,10.2027,10.1638,10.2008,10.2219,10.1894,10.1885,10.1708,10.1557,10.1805,10.204033333333333,10.171666666666665,10.1854,0.013660350844147382,10.853700000000002,10.879033333333332,10.8332,10.855311111111112,0.018746028385951474,0.264306538942107,0.005689442250790247,0.01,0.007807591997480831,8.65137371238955,0.17357232670044404,0.501065506904244,0.3892557419517702
3,BA,Y = -2.665*X + 14.77,9.9712,9.9978,9.9695,10.0524,10.0545,10.0191,9.9971,10.045,9.9472,9.9795,10.042000000000002,9.996433333333334,10.00597777777778,0.02639298915513829,11.042833333333334,11.057299999999998,11.050266666666666,11.050133333333333,0.005906744418849988,1.78762559933292,0.009903560658588476,1.39582238899312,0.0022164144160787946,58.5131838945947,0.21977056672209122,69.9398452889131,0.3710112488441518
3,LJ,Y = -3.937*X + 16.98,13.0103,13.03,12.9922,13.0843,13.1081,13.0175,13.0474,13.0086,12.977,13.010833333333332,13.069966666666666,13.011000000000001,13.0306,0.027836520110312457,14.644266666666667,14.696266666666666,14.631866666666667,14.657466666666666,0.0278988649709383,1.00314960629921,0.007070490248999862,0.589924646515960,0.00708632587527008,32.8354423930157,0.19806833920442837,29.5590892041826,0.2775025638953744
4,EC,Y = -4.708*X + 16.81,15.8268,15.9498,15.8194,15.8693,16.065,15.8985,15.8593,15.8223,15.8078,15.865333333333334,15.944266666666666,15.8298,15.879800000000001,0.04783734787644259,16.861566666666665,16.88633333333333,16.801066666666667,16.849655555555554,0.035814401544972965,0.197578589634664,0.010160864034928331,0.01,0.007607137116604283,10.9004644284704,0.5207590814905209,0.783342625011332,0.5914322999094292
