well,bacteria,medium,type
A1,EC,RI_SM,s
A2,BA,RI_SM,s
A3,FP,RI_SM,s
A4,BT,RI_SM,s
A5,LJ,RI_SM,s
A6,LB,RI_SM,s
A7,BOV,RI_SM,s
A8,BOB,RI_SM,s
A9,AM,RI_SM,s
A10,RI,RI_SM,s
A11,BoBe,RI_SM,B
A12,EC,MM,p
B1,EC,RI_SM,s
B2,BA,RI_SM,s
B3,FP,RI_SM,s
B4,BT,RI_SM,s
B5,LJ,RI_SM,s
B6,LB,RI_SM,s
B7,BOV,RI_SM,s
B8,BOB,RI_SM,s
B9,AM,RI_SM,s
B10,RI,RI_SM,s
B11,BoBe,RI_SM,B
B12,BA,MM,p
C1,EC,FP_SM,s
C2,BA,FP_SM,s
C3,FP,FP_SM,s
C4,BT,FP_SM,s
C5,LJ,FP_SM,s
C6,LB,FP_SM,s
C7,BOV,FP_SM,s
C8,BOB,FP_SM,s
C9,AM,FP_SM,s
C10,RI,FP_SM,s
C11,BoBe,FP_SM,B
C12,FP,MM,p
D1,EC,FP_SM,s
D2,BA,FP_SM,s
D3,FP,FP_SM,s
D4,BT,FP_SM,s
D5,LJ,FP_SM,s
D6,LB,FP_SM,s
D7,BOV,FP_SM,s
D8,BOB,FP_SM,s
D9,AM,FP_SM,s
D10,RI,FP_SM,s
D11,BoBe,FP_SM,B
D12,BT,MM,p
E1,EC,LB_SM,s
E2,BA,LB_SM,s
E3,FP,LB_SM,s
E4,BT,LB_SM,s
E5,LJ,LB_SM,s
E6,LB,LB_SM,s
E7,BOV,LB_SM,s
E8,BOB,LB_SM,s
E9,AM,LB_SM,s
E10,RI,LB_SM,s
E11,BoBe,LB_SM,B
E12,LJ,MM,p
F1,EC,LB_SM,s
F2,BA,LB_SM,s
F3,FP,LB_SM,s
F4,BT,LB_SM,s
F5,LJ,LB_SM,s
F6,LB,LB_SM,s
F7,BOV,LB_SM,s
F8,BOB,LB_SM,s
F9,AM,LB_SM,s
F10,RI,LB_SM,s
F11,BoBe,LB_SM,B
F12,LB,MM,p
G1,EC,EC_SM,s
G2,BA,EC_SM,s
G3,FP,EC_SM,s
G4,BT,EC_SM,s
G5,LJ,EC_SM,s
G6,LB,EC_SM,s
G7,BOV,EC_SM,s
G8,BOB,EC_SM,s
G9,AM,EC_SM,s
G10,RI,EC_SM,s
G11,BoBe,EC_SM,B
G12,BOV,MM,p
H1,EC,EC_SM,s
H2,BA,EC_SM,s
H3,FP,EC_SM,s
H4,BT,EC_SM,s
H5,LJ,EC_SM,s
H6,LB,EC_SM,s
H7,BOV,EC_SM,s
H8,BOB,EC_SM,s
H9,AM,EC_SM,s
H10,RI,EC_SM,s
H11,BoBe,EC_SM,B
H12,BOB,MM,p
