well;bacteria;medium;type;plate_col;plate_row;corrected_medium;growthrate;yield;lag
A1;EC;BOV;s;1;A;"BOV_SM
BT";0,27437612007529544;0,5110000000000000;0,2669203111911142
A2;BA;BOV;s;2;A;"BOV_SM
BT";0,27394492306780122;1,4444999999999999;0,7390487603661833
A3;FP;BOV;s;3;A;"BOV_SM
BT";0,03590091360852853;0,0528750000000000;0,1628160264084778
A4;BT;BOV;s;4;A;"BOV_SM
BT";0,08611041626147758;0,3477499999999999;1,0939653828563465
A5;LJ;BOV;s;5;A;"BOV_SM
BT";0,39780575857522360;1,4524999999999999;0,9098760028063260
A6;LB;BOV;s;6;A;"BOV_SM
BT";0,11581186532019129;0,9328749999999999;5,3410527862611206
A7;BOV;BOV;s;7;A;"BOV_SM
BT";0,09379105610278352;0,5953750000000000;3,8779555621812665
A8;BOB;BOV;s;8;A;"BOV_SM
BT";0,23260679894395067;1,1212499999999999;2,0445402808045339
A9;AM;BOV;s;9;A;"BOV_SM
BT";0,27913486505562712;0,9436250000000000;1,8310975102007914
A10;RI;BOV;s;10;A;"BOV_SM
BT";0,04092819327935196;0,0231250000000000;0,2845136146446086
A12;BT;;p;12;A;"BOV_SM
BT";0,09500324303985838;0,3414999999999999;0,3097081032136095
B1;EC;BOV;s;1;B;"BOV_SM
FP";0,29157961304154395;0,4958750000000000;0,6582902938880971
B2;BA;BOV;s;2;B;"BOV_SM
FP";0,25945872081956767;1,4508749999999999;0,5027079497475457
B3;FP;BOV;s;3;B;"BOV_SM
FP";0,02842651467452968;0,0700000000000000;-0,0212230350550462
B4;BT;BOV;s;4;B;"BOV_SM
FP";0,05471284405637650;0,3072500000000000;0,6637862388826559
B5;LJ;BOV;s;5;B;"BOV_SM
FP";0,39134223988523925;1,4153750000000000;0,8897028568667796
B6;LB;BOV;s;6;B;"BOV_SM
FP";0,11455580220420146;0,8668750000000001;5,2631638224805126
B7;BOV;BOV;s;7;B;"BOV_SM
FP";0,09331501015463067;0,6465000000000000;3,4198018513726285
B8;BOB;BOV;s;8;B;"BOV_SM
FP";0,22111313115722153;1,1067499999999999;1,8296963875624908
B9;AM;BOV;s;9;B;"BOV_SM
FP";0,25622775638273321;0,9128749999999999;1,3653308290426647
B10;RI;BOV;s;10;B;"BOV_SM
FP";0,03932558827637431;0,0381250000000000;22,9550333798472899
B12;FP;;p;12;B;"BOV_SM
FP";0,08580979109404101;0,1835000000000000;0,1432102274884691
C1;EC;BOB;s;1;C;"BOB_SM
AM";0,22522140262669366;0,3681250000000000;0,3255707639305612
C2;BA;BOB;s;2;C;"BOB_SM
AM";0,26102646563260568;1,4538750000000000;0,6544484039481280
C3;FP;BOB;s;3;C;"BOB_SM
AM";0,02491596795948274;0,0564999999999999;-1,0839230645278792
C4;BT;BOB;s;4;C;"BOB_SM
AM";0,05931624389484084;0,3418749999999999;-0,0705809363272773
C5;LJ;BOB;s;5;C;"BOB_SM
AM";0,29364894106183570;1,0655000000000001;1,0257555960546474
