well;bacteria;medium;type;plate_col;plate_row;corrected_medium;growthrate;yield;lag
A1;EC;LJ;s;1;A;LJ_SM;0,25073701431465978;0,4205384615384615;1,6876059197623556
A2;BA;LJ;s;2;A;LJ_SM;0,25583396282700099;1,6875384615384614;0,4397502263793632
A3;FP;LJ;s;3;A;LJ_SM;0,32724066898076154;1,7884615384615383;10,0819758999016464
A4;BT;LJ;s;4;A;LJ_SM;0,37877849959331061;1,8157692307692308;1,6008849947699364
A5;LJ;LJ;s;5;A;LJ_SM;0,30138430047453491;1,1091538461538462;2,8838661665232053
A6;LB;LJ;s;6;A;LJ_SM;0,11352301691086118;0,5784615384615385;4,7169442033512725
A7;BOV;LJ;s;7;A;LJ_SM;0,13366359291744220;0,9216923076923076;2,2383838647323637
A8;BOB;LJ;s;8;A;LJ_SM;0,13296353367361646;0,7334615384615385;13,6418600952909550
A9;AM;LJ;s;9;A;LJ_SM;0,41940425366308615;1,3596923076923078;4,3919496335129482
A10;RI;LJ;s;10;A;LJ_SM;0,24869170772675472;1,4393076923076924;5,4113781127426197
A12;None;;p;12;A;LJ_SM;0,00881311698744982;0,0000000010000000;-0,7433842744570359
B1;EC;LJ;s;1;B;LJ_SM;0,25540359902102772;0,4054615384615385;1,9621977491951441
B2;BA;LJ;s;2;B;LJ_SM;0,27321778859194190;1,7134615384615381;0,1919213829249473
B3;FP;LJ;s;3;B;LJ_SM;0,27668228620384105;1,7604615384615383;9,1727590717122567
B4;BT;LJ;s;4;B;LJ_SM;0,37643528477698879;1,8586923076923076;1,0428688512773083
B5;LJ;LJ;s;5;B;LJ_SM;0,30000684816388162;1,0429230769230768;3,0553261897919186
B6;LB;LJ;s;6;B;LJ_SM;0,11854642191132195;0,5773846153846154;5,1214416176885109
B7;BOV;LJ;s;7;B;LJ_SM;0,13927505477966287;0,9238461538461540;2,2141421817198261
B8;BOB;LJ;s;8;B;LJ_SM;0,12775439624828011;1,1754615384615383;0,2016772309710529
B9;AM;LJ;s;9;B;LJ_SM;0,38195357293669741;1,2819230769230767;4,3967914562089039
B10;RI;LJ;s;10;B;LJ_SM;0,26825208346589896;1,3703846153846153;6,3450647942753386
B12;None;;p;12;B;LJ_SM;0,01028279901316116;0,0000000010000000;29,0475094681611026
C1;EC;AM;s;1;C;AM_SM;0,13778493168281311;0,2420000000000000;2,5290103741098502
C2;BA;AM;s;2;C;AM_SM;0,24316658114409270;1,4645384615384616;0,0712809657467676
C3;FP;AM;s;3;C;AM_SM;0,29038270431305185;1,5493846153846156;11,3615269808465200
C4;BT;AM;s;4;C;AM_SM;0,32774565294371399;1,6774615384615386;0,8042433717391686
C5;LJ;AM;s;5;C;AM_SM;0,26920679435805528;1,0866153846153845;2,4927484404918472
C6;LB;AM;s;6;C;AM_SM;0,07556220344519562;0,2593846153846154;8,4104163010143314
C7;BOV;AM;s;7;C;AM_SM;0,05439580244978631;0,4172307692307692;0,8525899018121952
C8;BOB;AM;s;8;C;AM_SM;0,02556191615033415;0,2849999999999999;-2,5648538042557942
C9;AM;AM;s;9;C;AM_SM;0,14377700489910525;0,6409230769230769;8,7491927495997928
C10;RI;AM;s;10;C;AM_SM;0,04850598127159311;0,0144615384615384;19,9988943125261933
C12;None;;p;12;C;AM_SM;0,00493124229117736;0,0000000010000000;39,2973526392817050
D1;EC;AM;s;1;D;AM_SM;0,33014609051279936;1,7793846153846151;8,6556701838600212
D2;BA;AM;s;2;D;AM_SM;0,26398854545166911;1,5054615384615384;-0,2612306253592717
D3;FP;AM;s;3;D;AM_SM;0,26873206444180131;1,5159230769230769;11,6532024370625660
D4;BT;AM;s;4;D;AM_SM;0,29789295622937295;1,6780000000000002;0,6093586181275166
D5;LJ;AM;s;5;D;AM_SM;0,24585292819895907;1,0663846153846155;2,2518156805993677
D6;LB;AM;s;6;D;AM_SM;0,04723808564364054;0,2353846153846154;4,5732778885070182
D7;BOV;AM;s;7;D;AM_SM;0,05378074102094858;0,3893846153846154;2,5087208809391432
D8;BOB;AM;s;8;D;AM_SM;0,04459814040946699;0,1432307692307692;2,4932314631146744
D9;AM;AM;s;9;D;AM_SM;0,13217429940181949;0,6413846153846154;8,5339313867835624
D10;RI;AM;s;10;D;AM_SM;0,04119906677989228;0,0464615384615385;18,8365896180337309
E1;EC;;p;1;E;MM;-0,00219340845779098;0,0434615384615385;9,3372603037260014
