well;bacteria;medium;type;plate_col;plate_row;corrected_medium;growthrate;yield;lag
A1;EC;BOV;s;1;A;"BOV_SM
BT";0,30914681840292363;0,5087500000000000;0,1763875126601816
A2;BA;BOV;s;2;A;"BOV_SM
BT";0,30657734687899241;1,4452499999999999;0,6752282959580788
A3;FP;BOV;s;3;A;"BOV_SM
BT";0,04466708458896339;0,0518750000000000;-0,0335196598191392
A4;BT;BOV;s;4;A;"BOV_SM
BT";0,09905285639856824;0,3477500000000000;1,0302908962132047
A5;LJ;BOV;s;5;A;"BOV_SM
BT";0,42520271578582175;1,4520000000000000;0,8242910981479031
A6;LB;BOV;s;6;A;"BOV_SM
BT";0,13322426713172950;0,9395000000000000;5,2458317260835869
A7;BOV;BOV;s;7;A;"BOV_SM
BT";0,10642184246868205;0,5955000000000000;3,7720499800013796
A8;BOB;BOV;s;8;A;"BOV_SM
BT";0,26209279277090758;1,1242500000000000;2,0040826271938159
A9;AM;BOV;s;9;A;"BOV_SM
BT";0,31290528730637168;0,9443750000000002;1,7632217656248772
A10;RI;BOV;s;10;A;"BOV_SM
BT";0,04989401060755542;0,0233750000000000;0,1947427355840987
A12;BT;;p;12;A;"BOV_SM
BT";0,10730675578454318;0,3396250000000000;0,3453040481337689
B1;EC;BOV;s;1;B;"BOV_SM
FP";0,32993982969780122;0,4953750000000001;0,5985638601877158
B2;BA;BOV;s;2;B;"BOV_SM
FP";0,29100485513653745;1,4535000000000000;0,4428469620277986
B3;FP;BOV;s;3;B;"BOV_SM
FP";0,03365657680913184;0,0686250000000000;-0,0380383734819465
B4;BT;BOV;s;4;B;"BOV_SM
FP";0,06392220588048265;0,3072500000000000;0,5252567696166047
B5;LJ;BOV;s;5;B;"BOV_SM
FP";0,41995923031502919;1,4201250000000001;0,8265424857582317
B6;LB;BOV;s;6;B;"BOV_SM
FP";0,13156081724902680;0,8714999999999999;5,1456736483909804
B7;BOV;BOV;s;7;B;"BOV_SM
FP";0,10549453279475553;0,6457499999999999;3,2902901325850680
B8;BOB;BOV;s;8;B;"BOV_SM
FP";0,24664317636928532;1,1076250000000001;1,7710106002103854
B9;AM;BOV;s;9;B;"BOV_SM
FP";0,29548400261289759;0,9055000000000000;1,3244871231718920
B10;RI;BOV;s;10;B;"BOV_SM
FP";0,04814813716580892;0,0373750000000000;22,7778735220902568
B12;FP;;p;12;B;"BOV_SM
FP";0,09778748705294991;0,1827500000000000;0,1093006243692035
C1;EC;BOB;s;1;C;"BOB_SM
AM";0,25836519867157415;0,3690000000000000;0,2890573149049006
C2;BA;BOB;s;2;C;"BOB_SM
AM";0,29414585716783609;1,4421250000000001;0,5931790146727354
C3;FP;BOB;s;3;C;"BOB_SM
AM";0,03102436053421302;0,0565000000000000;-1,0244547032476126
C4;BT;BOB;s;4;C;"BOB_SM
AM";0,06810729848805823;0,3396250000000000;-0,0186901709889389
C5;LJ;BOB;s;5;C;"BOB_SM
AM";0,31514143793647492;1,0648750000000000;0,9430945790154771
C6;LB;BOB;s;6;C;"BOB_SM
AM";0,05569031030716789;0,3615000000000000;4,8580780563242563
C7;BOV;BOB;s;7;C;"BOB_SM
AM";0,05798746484995911;0,3185000000000000;3,3740218977211418
C8;BOB;BOB;s;8;C;"BOB_SM
AM";0,12796921283051269;0,7945000000000000;1,4871814225702571
C9;AM;BOB;s;9;C;"BOB_SM
AM";0,16619812423794339;0,6983750000000000;-0,2137782830611068
C10;RI;BOB;s;10;C;"BOB_SM
AM";0,03515669867702547;0,0243750000000000;0,5221770743604389
C12;AM;;p;12;C;"BOB_SM
AM";0,22069671750489978;1,2801250000000000;1,3128072413732481
D1;EC;BOB;s;1;D;"BOB_SM
RI";0,22415508440410445;0,3590000000000000;0,1400811638446548
D2;BA;BOB;s;2;D;"BOB_SM
RI";0,25089569565219993;1,5136250000000000;-0,0418776983544775
D3;FP;BOB;s;3;D;"BOB_SM
RI";0,02815596221588699;0,0536250000000000;-0,0493735387146512
D4;BT;BOB;s;4;D;"BOB_SM
RI";0,05613368874264862;0,3280000000000000;-0,0168019682980181
D5;LJ;BOB;s;5;D;"BOB_SM
RI";0,32128631058724705;1,0027500000000000;0,7319261995700524
D6;LB;BOB;s;6;D;"BOB_SM
RI";0,05174941348780274;0,3040000000000000;3,7469967376027924
D7;BOV;BOB;s;7;D;"BOB_SM
RI";0,05120140118141398;0,2891250000000000;3,8180249246039213
D8;BOB;BOB;s;8;D;"BOB_SM
RI";0,10697565430492369;0,6803750000000000;0,5405800272804848
D9;AM;BOB;s;9;D;"BOB_SM
RI";0,13321475059075383;0,6055000000000000;0,5958312627263986
D10;RI;BOB;s;10;D;"BOB_SM
RI";0,02555419474293248;0,0205000000000000;-0,4482904746907051
D12;RI;;p;12;D;"BOB_SM
RI";0,12708192111468847;0,4855000000000000;15,0896452477897185
E1;EC;BA;s;1;E;"BA_SM
";0,07634258602632502;0,1030000000000000;-0,8984855906097070
E2;BA;BA;s;2;E;"BA_SM
";0,13542678486435955;0,8522500000000000;-0,9073065954123974
E3;FP;BA;s;3;E;"BA_SM
";0,01060120127819880;0,0286250000000000;-7,0885820791171525
E4;BT;BA;s;4;E;"BA_SM
";0,10929805681848201;0,4443750000000000;-1,1477551926337954
E5;LJ;BA;s;5;E;"BA_SM
";0,18775518112729098;0,9393750000000001;0,8671224912159213
E6;LB;BA;s;6;E;"BA_SM
";0,09136144275380811;0,1221250000000000;0,7598697446979417
E7;BOV;BA;s;7;E;"BA_SM
";0,06862533401746417;0,1745000000000000;-0,1539067617254774
E8;BOB;BA;s;8;E;"BA_SM
";0,13001361302448164;0,1535000000000001;-0,4460753428036368
E9;AM;BA;s;9;E;"BA_SM
";0,00717918895199768;0,0343750000000000;7,1788262079145388
E10;RI;BA;s;10;E;"BA_SM
";0,01906747847529397;0,0161250000000001;0,1674663680361215
F1;EC;BA;s;1;F;"BA_SM
";0,09472579730014920;0,1186250000000000;-0,5637965982824166
F2;BA;BA;s;2;F;"BA_SM
";0,11300345338312197;0,8085000000000000;-0,8417221014882281
F3;FP;BA;s;3;F;"BA_SM
";0,00765230688141859;0,0248750000000000;-5,5523606548322189
F4;BT;BA;s;4;F;"BA_SM
";0,09236879524744319;0,4133749999999999;-0,7733875210655029
F5;LJ;BA;s;5;F;"BA_SM
";0,18686099126448638;0,9116250000000001;1,1643846307128611
F6;LB;BA;s;6;F;"BA_SM
";0,06234579918093285;0,0755000000000000;0,1676284632839398
F7;BOV;BA;s;7;F;"BA_SM
";0,04297235393254609;0,0963750000000000;-0,6424295156432811
F8;BOB;BA;s;8;F;"BA_SM
";0,13292315208300010;0,1842500000000000;-0,4614106005881357
F9;AM;BA;s;9;F;"BA_SM
";0,00775444504376834;0,0293750000000000;7,5598515086417812
F10;RI;BA;s;10;F;"BA_SM
";0,01485788656919482;0,0395000000000000;-5,1196744249991264
G1;EC;BT;s;1;G;"BT_SM
";0,06094045506188588;0,1205000000000000;-1,2607345936872485
G2;BA;BT;s;2;G;"BT_SM
";0,16101285565143525;0,6859999999999999;-0,7261509582835560
G3;FP;BT;s;3;G;"BT_SM
";0,00606204312541254;0,0177500000000000;-5,7554701074880947
G4;BT;BT;s;4;G;"BT_SM
";0,10790413445432516;0,8414999999999999;7,6011493670581789
G5;LJ;BT;s;5;G;"BT_SM
";0,17768141038218319;0,9618749999999999;1,1903147591511001
G6;LB;BT;s;6;G;"BT_SM
";0,07099055538512990;0,1132500000000000;0,4606186330660683
G7;BOV;BT;s;7;G;"BT_SM
";0,07901798607994975;0,1750000000000000;0,4479712643952855
G8;BOB;BT;s;8;G;"BT_SM
";0,09990335602172461;0,1866250000000000;-0,6167929247487732
G9;AM;BT;s;9;G;"BT_SM
";0,00742765667979228;0,0465000000000000;1,9570581607941027
G10;RI;BT;s;10;G;"BT_SM
";0,02208431509930939;0,0526250000000000;-4,5032716081908699
H1;EC;BT;s;1;H;"BT_SM
";0,09580062923356605;0,1148750000000000;-0,4120260174290110
H2;BA;BT;s;2;H;"BT_SM
";0,11934940108302843;0,6719999999999999;-0,8969807821417544
H3;FP;BT;s;3;H;"BT_SM
";0,01028396136422052;0,0163750000000000;-4,9754156392333373
H4;BT;BT;s;4;H;"BT_SM
";0,08312871848900959;0,4555000000000000;-0,7534830570097732
H5;LJ;BT;s;5;H;"BT_SM
";0,18397048530723362;0,8446250000000000;1,6250692494538905
H6;LB;BT;s;6;H;"BT_SM
";0,04319761483900714;0,0930000000000000;-0,0172244467318020
H7;BOV;BT;s;7;H;"BT_SM
";0,04552194989641828;0,1105000000000000;-0,2089256105427141
H8;BOB;BT;s;8;H;"BT_SM
";0,05546786538576980;0,1613750000000000;-0,9780575281408979
H9;AM;BT;s;9;H;"BT_SM
";0,00861603203746081;0,0370000000000000;1,1429176644578729
H10;RI;BT;s;10;H;"BT_SM
";0,02438204921013670;0,0356250000000000;-3,5207705653553196
