well;bacteria;medium;type;plate_col;plate_row;corrected_medium;growthrate;yield;lag
A1;EC;BOV;s;1;A;"BOV_SM
BT";0,30020081008481753;0,511375;0,2165546023886067
A2;BA;BOV;s;2;A;"BOV_SM
BT";0,29776858351241059;1,446875;0,7035641768764688
A3;FP;BOV;s;3;A;"BOV_SM
BT";0,04244717568837234;0,051625;0,0941304021065122
A4;BT;BOV;s;4;A;"BOV_SM
BT";0,09564522695542191;0,346000;1,0377803451804499
A5;LJ;BOV;s;5;A;"BOV_SM
BT";0,41876597490535367;1,449375;0,8668901907544106
A6;LB;BOV;s;6;A;"BOV_SM
BT";0,12893393497826305;0,933375;5,2105845223998104
A7;BOV;BOV;s;7;A;"BOV_SM
BT";0,10278842348362213;0,594375;3,7121847503866885
A8;BOB;BOV;s;8;A;"BOV_SM
BT";0,25393633147826633;1,124125;2,0002875513234861
A9;AM;BOV;s;9;A;"BOV_SM
BT";0,30355173448416167;0,942125;1,7906235481003689
A10;RI;BOV;s;10;A;"BOV_SM
BT";0,04694716465955302;0,023125;0,1859051225700441
A12;BT;;p;12;A;"BOV_SM
BT";0,10315713443995647;0,340875;0,2820313837015646
B1;EC;BOV;s;1;B;"BOV_SM
FP";0,31978324320687729;0,497125;0,6162362153717265
B2;BA;BOV;s;2;B;"BOV_SM
FP";0,28231496238335207;1,446375;0,4550845241416253
B3;FP;BOV;s;3;B;"BOV_SM
FP";0,03201329313255301;0,068875;-0,1990717979436138
B4;BT;BOV;s;4;B;"BOV_SM
FP";0,06091536085318210;0,308125;0,5741570078909576
B5;LJ;BOV;s;5;B;"BOV_SM
FP";0,41300540709757311;1,416125;0,8494170825395005
B6;LB;BOV;s;6;B;"BOV_SM
FP";0,12705872198000231;0,866375;5,1431165910872938
B7;BOV;BOV;s;7;B;"BOV_SM
FP";0,10202972072314037;0,644875;3,3614264398695277
B8;BOB;BOV;s;8;B;"BOV_SM
FP";0,23951990210551499;1,108750;1,7700164158643981
B9;AM;BOV;s;9;B;"BOV_SM
FP";0,28406712611224139;0,905750;1,3328228751645959
B10;RI;BOV;s;10;B;"BOV_SM
FP";0,04517935763648168;0,038750;22,8748594468238373
B12;FP;;p;12;B;"BOV_SM
FP";0,09420995757893801;0,185250;0,1405488905277029
C1;EC;BOB;s;1;C;"BOB_SM
AM";0,24919658527605570;0,367250;0,2842384170295428
C2;BA;BOB;s;2;C;"BOB_SM
AM";0,28525528080597778;1,445375;0,5893977467753740
C3;FP;BOB;s;3;C;"BOB_SM
AM";0,02916823165300749;0,055875;-1,0206555549908070
C4;BT;BOB;s;4;C;"BOB_SM
AM";0,06582622413424991;0,339375;-0,0226171449878524
C5;LJ;BOB;s;5;C;"BOB_SM
AM";0,30951338519743576;1,063125;0,9726305141326543
C6;LB;BOB;s;6;C;"BOB_SM
AM";0,05434109511884270;0,361375;5,1090659595489836
