well;bacteria;medium;type;plate_col;plate_row;corrected_medium;growthrate;yield;lag
A1;EC;RI;s;1;A;"RI_SM
EC";0,25112492686145094;0,450625;19,5338059494713931
A2;BA;RI;s;2;A;"RI_SM
EC";0,32754087524330117;1,583250;-0,1124425671465013
A3;FP;RI;s;3;A;"RI_SM
EC";0,38399853695002867;1,280500;11,1091234627827458
A4;BT;RI;s;4;A;"RI_SM
EC";0,10917287421907565;0,470500;-0,1308275662337889
A5;LJ;RI;s;5;A;"RI_SM
EC";0,30566192170975659;1,309125;2,7485835563337955
A6;LB;RI;s;6;A;"RI_SM
EC";0,16183727473918819;1,283000;4,8364695972078291
A7;BOV;RI;s;7;A;"RI_SM
EC";0,22716438237907480;1,206000;14,6926491035539026
A8;BOB;RI;s;8;A;"RI_SM
EC";0,10605201624699973;1,044000;6,7592703915949688
A9;AM;RI;s;9;A;"RI_SM
EC";0,10162340551995423;0,779250;10,0956203985523842
A10;RI;RI;s;10;A;"RI_SM
EC";0,20817909877973778;0,162000;21,2404075938356165
A12;EC;;p;12;A;"RI_SM
EC";0,26225379052136250;0,595875;18,0891436781935759
B1;EC;RI;s;1;B;"RI_SM
BA";0,27615941244842290;0,424750;17,7793217966426624
B2;BA;RI;s;2;B;"RI_SM
BA";0,33681766904346422;1,219000;0,0586224925609161
B3;FP;RI;s;3;B;"RI_SM
BA";0,44909856745071736;1,580125;10,3137100563617850
B4;BT;RI;s;4;B;"RI_SM
BA";0,10431859317667752;0,499500;0,0163793764623382
B5;LJ;RI;s;5;B;"RI_SM
BA";0,29888978267388755;1,280500;2,8889187056461285
B6;LB;RI;s;6;B;"RI_SM
BA";0,17692157893939822;1,255625;5,3173441188410164
B7;BOV;RI;s;7;B;"RI_SM
BA";0,21763890362765217;1,236000;13,9289009114527964
B8;BOB;RI;s;8;B;"RI_SM
BA";0,11472504958437153;1,050250;6,6301334188888648
B9;AM;RI;s;9;B;"RI_SM
BA";0,10332338688076978;0,666000;11,7616680178051887
B10;RI;RI;s;10;B;"RI_SM
BA";0,15842784119926739;0,114000;21,2891531272313159
