well;bacteria;medium;type;plate_col;plate_row;corrected_medium;growthrate;yield;lag
G7;BOV;BT;s;7;G;"BT_SM
";0,07875319594368596;0,175750;0,38811793406234146
G8;BOB;BT;s;8;G;"BT_SM
";0,10022532305130155;0,185875;-0,60840217775567229
G9;AM;BT;s;9;G;"BT_SM
";0,00801644434367449;0,046500;3,06452678270514545
G10;RI;BT;s;10;G;"BT_SM
";0,02114913592689728;0,052625;-4,71369676060586063
H1;EC;BT;s;1;H;"BT_SM
";0,09545084931728748;0,114125;-0,46357997659962852
H2;BA;BT;s;2;H;"BT_SM
";0,11868029142669294;0,673375;-0,90280763240908668
H3;FP;BT;s;3;H;"BT_SM
";0,01008005223818919;0,016750;-5,04667898682550842
H4;BT;BT;s;4;H;"BT_SM
";0,08334216978944306;0,452250;-0,79498070117330555
H5;LJ;BT;s;5;H;"BT_SM
";0,18313076689722826;0,845125;1,59813065799398446
H6;LB;BT;s;6;H;"BT_SM
";0,04269418856662971;0,093125;0,09546755435757825
H7;BOV;BT;s;7;H;"BT_SM
";0,04457525582303902;0,112250;-0,01076550103524624
H8;BOB;BT;s;8;H;"BT_SM
";0,05539673401058687;0,163750;-0,96916983503512799
H9;AM;BT;s;9;H;"BT_SM
";0,00950014475924078;0,037125;1,22205869650806220
H10;RI;BT;s;10;H;"BT_SM
";0,02426817495619371;0,035625;-3,51030230033444512
