well;bacteria;medium;type;plate_col;plate_row;corrected_medium;growthrate;yield;lag
A1;EC;BOV;s;1;A;"BOV_SM
BT";0,30861372087051497;0,509250;0,18171205652714448
A2;BA;BOV;s;2;A;"BOV_SM
BT";0,30699927424374307;1,444250;0,69669940299907096
A3;FP;BOV;s;3;A;"BOV_SM
BT";0,04422596438856705;0,052250;0,08361065575546134
A4;BT;BOV;s;4;A;"BOV_SM
BT";0,09934428889748789;0,347625;0,96325938580592008
A5;LJ;BOV;s;5;A;"BOV_SM
BT";0,42458683365964639;1,447125;0,82728360187114536
A6;LB;BOV;s;6;A;"BOV_SM
BT";0,13301675446642219;0,940250;5,18027259764556103
A7;BOV;BOV;s;7;A;"BOV_SM
BT";0,10629213095120921;0,595250;3,74023195666470665
A8;BOB;BOV;s;8;A;"BOV_SM
BT";0,26088088819862693;1,125500;2,01974506209440685
A9;AM;BOV;s;9;A;"BOV_SM
BT";0,31216271078728786;0,944375;1,76521042346507007
A10;RI;BOV;s;10;A;"BOV_SM
BT";0,05012163548755792;0,023750;0,09928496046307389
A12;BT;;p;12;A;"BOV_SM
BT";0,10653056658246139;0,340250;0,33971469232367119
B1;EC;BOV;s;1;B;"BOV_SM
FP";0,32923633261626456;0,494500;0,60176233988478978
B2;BA;BOV;s;2;B;"BOV_SM
FP";0,29001966083261432;1,449625;0,42705115290672035
B3;FP;BOV;s;3;B;"BOV_SM
FP";0,03389871076980052;0,068250;-0,02842016440867866
B4;BT;BOV;s;4;B;"BOV_SM
FP";0,06273222063720185;0,308125;0,61510893188544147
B5;LJ;BOV;s;5;B;"BOV_SM
FP";0,41912135400106443;1,420750;0,81962119261398281
B6;LB;BOV;s;6;B;"BOV_SM
FP";0,13073954091508877;0,875250;5,09955363110919624
B7;BOV;BOV;s;7;B;"BOV_SM
FP";0,10550107922727359;0,646625;3,30460395023863196
B8;BOB;BOV;s;8;B;"BOV_SM
FP";0,24602491018433623;1,106125;1,79129513498510495
B9;AM;BOV;s;9;B;"BOV_SM
FP";0,29405009231647605;0,907625;1,30517442926695115
B10;RI;BOV;s;10;B;"BOV_SM
FP";0,04765404399156412;0,038000;22,97900371453540913
B12;FP;;p;12;B;"BOV_SM
FP";0,09724610559057997;0,183875;0,14257569881049212
C1;EC;BOB;s;1;C;"BOB_SM
AM";0,25738771245353559;0,368500;0,29005022989077073
C2;BA;BOB;s;2;C;"BOB_SM
AM";0,29321491516377340;1,442875;0,60958203318587412
C3;FP;BOB;s;3;C;"BOB_SM
AM";0,03118418963288440;0,056625;-0,99551186004685366
C4;BT;BOB;s;4;C;"BOB_SM
AM";0,06871320854298643;0,341250;-0,04790599371410972
C5;LJ;BOB;s;5;C;"BOB_SM
AM";0,31480966379645448;1,066250;0,95771816350732186
C6;LB;BOB;s;6;C;"BOB_SM
AM";0,05545688229634987;0,357250;4,85732175231656615
C7;BOV;BOB;s;7;C;"BOB_SM
AM";0,05740383778367297;0,316250;3,25288957528881006
C8;BOB;BOB;s;8;C;"BOB_SM
AM";0,12751568907175886;0,791000;1,48891478262596522
C9;AM;BOB;s;9;C;"BOB_SM
AM";0,16541900272244026;0,695375;-0,24651441049527170
C10;RI;BOB;s;10;C;"BOB_SM
AM";0,03549550324009790;0,024000;0,53550405834728965
C12;AM;;p;12;C;"BOB_SM
AM";0,15368534345316748;0,665875;8,71956117401639119
D1;EC;BOB;s;1;D;"BOB_SM
RI";0,22367226225621889;0,358500;0,16618448232107078
D2;BA;BOB;s;2;D;"BOB_SM
RI";0,25045349391986921;1,514000;-0,03781996584657563
D3;FP;BOB;s;3;D;"BOB_SM
RI";0,02736818827028247;0,053500;0,06982395650894938
D4;BT;BOB;s;4;D;"BOB_SM
RI";0,05597917386479994;0,327875;-0,00915188667893047
D5;LJ;BOB;s;5;D;"BOB_SM
RI";0,32073665620800412;1,002500;0,74563315889087500
D6;LB;BOB;s;6;D;"BOB_SM
RI";0,04969742554766558;0,306125;3,25801696123050499
D7;BOV;BOB;s;7;D;"BOB_SM
RI";0,05148294269305764;0,288500;4,03618671852616373
D8;BOB;BOB;s;8;D;"BOB_SM
RI";0,10615874978291985;0,677625;0,53214437736828624
D9;AM;BOB;s;9;D;"BOB_SM
RI";0,13352754848441126;0,599250;0,60815173196577499
D10;RI;BOB;s;10;D;"BOB_SM
RI";0,02541730486235115;0,019875;-0,62500573727162145
D12;RI;;p;12;D;"BOB_SM
RI";0,12674440322107905;0,484250;15,05940178022684961
E1;EC;BA;s;1;E;"BA_SM
";0,07598069243637898;0,103000;-0,89701402580240797
E2;BA;BA;s;2;E;"BA_SM
";0,13568402809816801;0,851125;-0,95968909636865307
E3;FP;BA;s;3;E;"BA_SM
";0,01097522825578962;0,029000;-6,78119059341753072
E4;BT;BA;s;4;E;"BA_SM
";0,10807626305378747;0,441375;-1,19942493393436722
E5;LJ;BA;s;5;E;"BA_SM
";0,18720147467912546;0,942000;0,84593168353196280
E6;LB;BA;s;6;E;"BA_SM
";0,09045362828525515;0,121875;0,85733227463284578
E7;BOV;BA;s;7;E;"BA_SM
";0,06825829876482578;0,174250;-0,08621414481706975
E8;BOB;BA;s;8;E;"BA_SM
";0,12959350273983780;0,153875;-0,40904736794683511
E9;AM;BA;s;9;E;"BA_SM
";0,01340268172035612;0,064125;23,06153747581092617
E10;RI;BA;s;10;E;"BA_SM
";0,01904546296673168;0,016125;-0,11871046479028707
F1;EC;BA;s;1;F;"BA_SM
";0,09451550033329847;0,118625;-0,50600250469900565
F2;BA;BA;s;2;F;"BA_SM
";0,11253845613827654;0,809375;-0,91624443845971648
F3;FP;BA;s;3;F;"BA_SM
";0,00812218657443987;0,025000;-4,50543798786334904
F4;BT;BA;s;4;F;"BA_SM
";0,09131708869316744;0,415000;-0,79483994135743019
F5;LJ;BA;s;5;F;"BA_SM
";0,18639776624904808;0,912250;1,14411765302948609
F6;LB;BA;s;6;F;"BA_SM
";0,06132166546820939;0,075375;0,14371433918605539
F7;BOV;BA;s;7;F;"BA_SM
";0,04232334120856400;0,096625;-0,54156790980521285
F8;BOB;BA;s;8;F;"BA_SM
";0,13191363723076169;0,182375;-0,43480432122760143
F9;AM;BA;s;9;F;"BA_SM
";0,00758640268507982;0,029250;7,72133542581660137
F10;RI;BA;s;10;F;"BA_SM
";0,01407528032625885;0,039375;-5,73062821375942377
G1;EC;BT;s;1;G;"BT_SM
";0,06061175362086566;0,120375;-1,34494415301845027
G2;BA;BT;s;2;G;"BT_SM
";0,16002595978056774;0,684625;-0,72738404360567843
G3;FP;BT;s;3;G;"BT_SM
";0,00534364634704807;0,017250;-5,62412773349608397
G4;BT;BT;s;4;G;"BT_SM
";0,10735706959195322;0,834250;7,57976017118413559
G5;LJ;BT;s;5;G;"BT_SM
";0,17732367271257543;0,964000;1,23627397956030438
G6;LB;BT;s;6;G;"BT_SM
";0,07050025361946360;0,113625;0,52400983793733258
