well;bacteria;medium;type;plate_col;plate_row;corrected_medium;growthrate;yield;lag
A1;EC;RI;s;1;A;"RI_SM
EC";0,260925548526931728;0,448625;19,53221002267653716
A2;BA;RI;s;2;A;"RI_SM
EC";0,337058492231381623;1,582125;-0,11138077534190192
A3;FP;RI;s;3;A;"RI_SM
EC";0,396373000345261128;1,281000;11,07685665440865286
A4;BT;RI;s;4;A;"RI_SM
EC";0,113947284269778390;0,470625;-0,10232574674861321
A5;LJ;RI;s;5;A;"RI_SM
EC";0,312550740508964364;1,301000;2,72760875943034042
A6;LB;RI;s;6;A;"RI_SM
EC";0,166173366991091920;1,278125;4,75990977228601064
A7;BOV;RI;s;7;A;"RI_SM
EC";0,232347495641518242;1,201000;14,62643917184073850
A8;BOB;RI;s;8;A;"RI_SM
EC";0,108623717016256047;1,046000;6,72102689765582717
A9;AM;RI;s;9;A;"RI_SM
EC";0,052452949116271345;0,775000;0,96742248728707203
A10;RI;RI;s;10;A;"RI_SM
EC";0,219414119268976554;0,161625;21,25661849937574388
A12;EC;;p;12;A;"RI_SM
EC";0,270709296387461884;0,592125;18,05761241517218352
B1;EC;RI;s;1;B;"RI_SM
BA";0,287250827859837243;0,423875;17,80085778450433764
B2;BA;RI;s;2;B;"RI_SM
BA";0,346960639811202287;1,219000;0,04728260907182257
B3;FP;RI;s;3;B;"RI_SM
BA";0,459196262397972566;1,582625;10,28261749959687776
B4;BT;RI;s;4;B;"RI_SM
BA";0,109435616755533136;0,498625;0,02787732005236791
B5;LJ;RI;s;5;B;"RI_SM
BA";0,305112353810467307;1,282125;2,86031354548122252
B6;LB;RI;s;6;B;"RI_SM
BA";0,182462708697864240;1,257125;5,27580451249280191
B7;BOV;RI;s;7;B;"RI_SM
BA";0,222352964665412572;1,231375;13,82575517063398074
B8;BOB;RI;s;8;B;"RI_SM
BA";0,117840969746798654;1,050125;6,54609275218133213
B9;AM;RI;s;9;B;"RI_SM
BA";0,105722599012068388;0,664125;11,63660607351199516
