well;bacteria;medium;type;plate_col;plate_row;corrected_medium;growthrate;yield;lag
A1;EC;LJ;s;1;A;LJ_SM;0,24602640781788770;0,4216153846153846;1,707824953457904
A2;BA;LJ;s;2;A;LJ_SM;0,25127071560779896;1,6879999999999999;0,418353380446727
A3;FP;LJ;s;3;A;LJ_SM;0,32399880687303423;1,7881538461538460;10,113536714652460
A4;BT;LJ;s;4;A;LJ_SM;0,37430585543251521;1,8169230769230771;1,603402280642716
A5;LJ;LJ;s;5;A;LJ_SM;0,29910671560141544;1,1076153846153844;2,919732810778616
A6;LB;LJ;s;6;A;LJ_SM;0,11044166234628183;0,5787692307692308;4,747034316006853
A7;BOV;LJ;s;7;A;LJ_SM;0,13132308527726172;0,9213076923076924;2,263160190435789
A8;BOB;LJ;s;8;A;LJ_SM;0,13177303256201051;0,7354615384615385;13,740993070743647
A9;AM;LJ;s;9;A;LJ_SM;0,41315225506489922;1,3570000000000000;4,417926502088979
A10;RI;LJ;s;10;A;LJ_SM;0,24640962539257508;1,4395384615384617;5,456050282116284
A12;None;;p;12;A;LJ_SM;0,00861576492946133;0,0000000010000000;-0,346998966158906
B1;EC;LJ;s;1;B;LJ_SM;0,25000901679397330;0,4056153846153845;1,979151770915231
B2;BA;LJ;s;2;B;LJ_SM;0,26771744063979452;1,7118461538461538;0,169328468535896
B3;FP;LJ;s;3;B;LJ_SM;0,27314243646985209;1,7617692307692305;9,197839031453496
B4;BT;LJ;s;4;B;LJ_SM;0,37012466800091209;1,8595384615384618;1,036835223367569
B5;LJ;LJ;s;5;B;LJ_SM;0,29765143729156818;1,0393846153846154;3,090186258745420
B6;LB;LJ;s;6;B;LJ_SM;0,11577945873129911;0,5743076923076923;5,092154174434877
B7;BOV;LJ;s;7;B;LJ_SM;0,13637234260259251;0,9250000000000000;2,194723333522413
B8;BOB;LJ;s;8;B;LJ_SM;0,12458617670905606;1,1779999999999999;0,169701597502698
B9;AM;LJ;s;9;B;LJ_SM;0,37699724130583306;1,2806153846153847;4,397562156319066
B10;RI;LJ;s;10;B;LJ_SM;0,26622452238592104;1,3696153846153845;6,389428432842304
B12;None;;p;12;B;LJ_SM;0,00964656157384578;0,0000000010000000;29,230291195393015
C1;EC;AM;s;1;C;AM_SM;0,13506183763075291;0,2421538461538462;2,561726247763130
C2;BA;AM;s;2;C;AM_SM;0,23919879926738286;1,4656153846153845;0,072638875907110
C3;FP;AM;s;3;C;AM_SM;0,28625140970669355;1,5471538461538463;11,404984450117821
C4;BT;AM;s;4;C;AM_SM;0,32245170982352861;1,6806923076923077;0,809950759004773
C5;LJ;AM;s;5;C;AM_SM;0,26681820898104608;1,0863846153846155;2,552645615213543
C6;LB;AM;s;6;C;AM_SM;0,07577127059004056;0,2583846153846154;8,538359183505733
C7;BOV;AM;s;7;C;AM_SM;0,05269705114395939;0,4182307692307692;0,914691452870314
C8;BOB;AM;s;8;C;AM_SM;0,02509466513020919;0,2837692307692308;-2,190691675517595
C9;AM;AM;s;9;C;AM_SM;0,14122519473743636;0,6439999999999999;8,741539823851477
C10;RI;AM;s;10;C;AM_SM;0,04628411010965965;0,0137692307692308;19,937367381422799
C12;None;;p;12;C;AM_SM;0,00459477998877274;0,0000000010000000;39,068431799300186
D1;EC;AM;s;1;D;AM_SM;0,32648735298651516;1,7803076923076921;8,686080802776466
D2;BA;AM;s;2;D;AM_SM;0,26000857121437082;1,5062307692307693;-0,267078469793314
D3;FP;AM;s;3;D;AM_SM;0,26487643339090405;1,5143846153846152;11,685644496635140
D4;BT;AM;s;4;D;AM_SM;0,29423235663481839;1,6802307692307692;0,640669849048498
D5;LJ;AM;s;5;D;AM_SM;0,24414130830326414;1,0649230769230771;2,277704783570093
D6;LB;AM;s;6;D;AM_SM;0,04634778491422684;0,2354615384615385;4,789183086589214
D7;BOV;AM;s;7;D;AM_SM;0,05294979935640802;0,3873846153846154;2,499390804492247
D8;BOB;AM;s;8;D;AM_SM;0,04325393894269925;0,1440000000000000;2,406581759867308
D9;AM;AM;s;9;D;AM_SM;0,13068751996420302;0,6420769230769230;8,582942736979138
D10;RI;AM;s;10;D;AM_SM;0,03993330298612614;0,0453846153846154;18,808615946041009
E1;EC;;p;1;E;MM;-0,00214803686704585;0,0431538461538462;6,547586615961353
E2;BA;;p;2;E;MM;0,01532117480109729;0,0306153846153846;23,280818991271701
E3;FP;;p;3;E;MM;0,01500062722158588;0,0326923076923077;24,388898307944839
E4;BT;;p;4;E;MM;0,01187440152234466;0,0320769230769231;24,533171110769484
E5;LJ;;p;5;E;MM;0,03384373584011099;0,0500000000000000;-0,940855380051324
E6;LB;;p;6;E;MM;0,01454979522653437;0,0302307692307692;24,191859496519477
E7;BOV;;p;7;E;MM;0,01323991194442926;0,0371538461538462;27,278347511286942
E8;BOB;;p;8;E;MM;0,01772185147204901;0,0315384615384616;24,194456655503405
E9;AM;;p;9;E;MM;0,27457273169883140;1,3323076923076922;3,936377760419520
E10;RI;;p;10;E;MM;0,13077850847785863;0,7689999999999999;6,563671137044015
F1;EC;;p;1;F;MM;0,21526947921734868;1,5373846153846153;11,774968162231529
F2;BA;;p;2;F;MM;0,30635322362786055;1,5390769230769232;0,320235513808409
F3;FP;;p;3;F;MM;0,23226390507005018;1,5953076923076923;11,581760692382606
F4;BT;;p;4;F;MM;0,33706127087356869;1,7437692307692307;0,881405450524052
F5;LJ;;p;5;F;MM;0,23863616100041035;1,0752307692307692;1,774406802279726
F6;LB;;p;6;F;MM;0,10351434543816937;0,7713846153846153;6,052547991786826
F7;BOV;;p;7;F;MM;0,06035992030847527;0,5214615384615384;2,076445213309179
F8;BOB;;p;8;F;MM;0,09355998924255067;0,8603076923076922;11,603218213199616
F9;AM;;p;9;F;MM;0,26343223355493711;1,2107692307692308;4,444578228363103
F10;RI;;p;10;F;MM;0,17147161616378800;0,8974615384615384;6,509667403322954
G1;EC;;p;1;G;MM;0,18789455903544208;1,4750769230769232;1,643210348507982
G2;BA;;p;2;G;MM;0,24204755628434760;1,5203076923076924;0,484504932519702
G3;FP;;p;3;G;MM;0,23138219358150303;1,5148461538461540;12,427658042953766
G4;BT;;p;4;G;MM;0,29539375745235869;1,7493846153846153;1,443428119596263
G5;LJ;;p;5;G;MM;0,30590465138968798;1,1793846153846155;2,871210018483416
G6;LB;;p;6;G;MM;0,10455916549101066;0,7452307692307694;7,071018576677505
G7;BOV;;p;7;G;MM;0,06514152196706166;0,6034615384615385;3,399601853108466
G8;BOB;;p;8;G;MM;0,10939653984663122;0,8604615384615385;13,408288671310769
G9;AM;;p;9;G;MM;0,27449659351934280;1,3255384615384616;3,937076486033638
G10;RI;;p;10;G;MM;0,15156877800444529;0,8083076923076924;6,903703823181186
H1;EC;;p;1;H;MM;0,19710367198907203;1,5003846153846152;1,733312031161882
H2;BA;;p;2;H;MM;0,16424604873355314;1,4853846153846155;0,761173940449334
H3;FP;;p;3;H;MM;0,27920251111871885;1,5013846153846153;13,341161687491796
H4;BT;;p;4;H;MM;0,30681341617956737;1,7371538461538463;1,220226288208840
H5;LJ;;p;5;H;MM;0,29444113231641716;1,2205384615384616;2,474210772801229
H6;LB;;p;6;H;MM;0,10241885875036941;0,7113076923076922;7,181789215128437
H7;BOV;;p;7;H;MM;0,05425768401654944;0,4957692307692308;3,808042214884931
H8;BOB;;p;8;H;MM;0,11031003455556430;0,7972307692307694;13,253260975468784
H9;AM;;p;9;H;MM;0,23864364593303697;1,3320769230769232;3,519255753170552
H10;RI;;p;10;H;MM;0,13031772501452510;0,6889230769230769;6,693391893586950
