well;bacteria;medium;type;plate_col;plate_row;corrected_medium;growthrate;yield;lag
A1;EC;LJ;s;1;A;LJ_SM;0,29348627930520799;0,4209230769230770;1,6636635403676605
A2;BA;LJ;s;2;A;LJ_SM;0,29809521308280479;1,6866923076923075;0,4323843430094357
A3;FP;LJ;s;3;A;LJ_SM;0,35625095646566196;1,7893846153846154;9,8666166316680322
A4;BT;LJ;s;4;A;LJ_SM;0,41766225008380115;1,8173846153846154;1,5167729207578100
A5;LJ;LJ;s;5;A;LJ_SM;0,32364280875829621;1,1087692307692307;2,7286706790420499
A6;LB;LJ;s;6;A;LJ_SM;0,13549622335591763;0,5771538461538462;4,6998873410754261
A7;BOV;LJ;s;7;A;LJ_SM;0,15772101271148867;0,9206923076923076;2,1489443000586896
A8;BOB;LJ;s;8;A;LJ_SM;0,14629275845531442;0,7286153846153846;13,3303868749354795
A9;AM;LJ;s;9;A;LJ_SM;0,47059798068265701;1,3598461538461537;4,3293201082657315
A10;RI;LJ;s;10;A;LJ_SM;0,23291221843219034;1,4382307692307692;3,9634914378433095
A12;None;;p;12;A;LJ_SM;0,01084245896010197;0,0000000010000000;-0,2225068006506588
B1;EC;LJ;s;1;B;LJ_SM;0,29649315529680104;0,4037692307692308;1,9068115431732271
B2;BA;LJ;s;2;B;LJ_SM;0,31919464008561255;1,7116923076923078;0,1650652885981594
B3;FP;LJ;s;3;B;LJ_SM;0,30804753204497631;1,7636153846153846;8,9571525546373039
B4;BT;LJ;s;4;B;LJ_SM;0,42444321570369486;1,8594615384615385;0,9640324195023015
B5;LJ;LJ;s;5;B;LJ_SM;0,32246837684157953;1,0400000000000000;2,8671578901647825
B6;LB;LJ;s;6;B;LJ_SM;0,14434945301632354;0,5786153846153846;5,0809517890047360
B7;BOV;LJ;s;7;B;LJ_SM;0,16405600439760290;0,9236153846153845;2,0964351249032265
B8;BOB;LJ;s;8;B;LJ_SM;0,15010462052752577;1,1791538461538460;0,1697343098740308
B9;AM;LJ;s;9;B;LJ_SM;0,43291688162723602;1,2794615384615384;4,3461827560700721
B10;RI;LJ;s;10;B;LJ_SM;0,28582469553374928;1,3703076923076924;6,0314335217450150
B12;None;;p;12;B;LJ_SM;0,01361258514728846;0,0000000010000000;28,9662401095237421
C1;EC;AM;s;1;C;AM_SM;0,16413283708686585;0,2426153846153846;2,4914478539121201
C2;BA;AM;s;2;C;AM_SM;0,28063558043097803;1,4646153846153847;0,0751779045742069
C3;FP;AM;s;3;C;AM_SM;0,32337741996587804;1,5496153846153846;11,1973625921112721
C4;BT;AM;s;4;C;AM_SM;0,36529510336341098;1,6799230769230769;0,7145045044678761
