well;bacteria;medium;type;plate_col;plate_row;corrected_medium;growthrate;yield;lag
A1;EC;LJ;s;1;A;LJ_SM;0,27091415662282453;0,4199230769230770;1,6642362784678435
A2;BA;LJ;s;2;A;LJ_SM;0,27631505006505086;1,6874615384615383;0,4304917473439957
A3;FP;LJ;s;3;A;LJ_SM;0,34177159710858801;1,7876923076923075;9,9841213037523318
A4;BT;LJ;s;4;A;LJ_SM;0,39786032778656677;1,8155384615384615;1,5591227885062906
A5;LJ;LJ;s;5;A;LJ_SM;0,31291376851076824;1,1054615384615385;2,8117434681488724
A6;LB;LJ;s;6;A;LJ_SM;0,12367583684192419;0,5786923076923076;4,6881746842393666
A7;BOV;LJ;s;7;A;LJ_SM;0,14486107491211486;0,9213076923076923;2,1888339292830530
A8;BOB;LJ;s;8;A;LJ_SM;0,13954533162466090;0,7327692307692308;13,4607735883475481
A9;AM;LJ;s;9;A;LJ_SM;0,44484081539570436;1,3593076923076923;4,3671650315907327
A10;RI;LJ;s;10;A;LJ_SM;0,21996965364042528;1,4384615384615387;4,1015675071547273
A12;None;;p;12;A;LJ_SM;0,00996284282727850;0,0000000010000000;-0,6299748132741294
B1;EC;LJ;s;1;B;LJ_SM;0,27508672467825152;0,4057692307692308;1,9329133601171609
B2;BA;LJ;s;2;B;LJ_SM;0,29531216784669961;1,7114615384615384;0,1896416773673533
B3;FP;LJ;s;3;B;LJ_SM;0,29156376999404182;1,7639230769230767;9,0859766957460533
B4;BT;LJ;s;4;B;LJ_SM;0,40043249159666300;1,8580000000000001;1,0121318630276661
B5;LJ;LJ;s;5;B;LJ_SM;0,31109874837771612;1,0426923076923078;2,9717373763478054
B6;LB;LJ;s;6;B;LJ_SM;0,13048454157182179;0,5767692307692307;5,0627641931800236
B7;BOV;LJ;s;7;B;LJ_SM;0,15083595529090937;0,9246923076923077;2,1921119525029407
B8;BOB;LJ;s;8;B;LJ_SM;0,13801561491364087;1,1759230769230768;0,1500304937612119
B9;AM;LJ;s;9;B;LJ_SM;0,40709488815858952;1,2813076923076925;4,3522830576944465
B10;RI;LJ;s;10;B;LJ_SM;0,27756540714868339;1,3704615384615384;6,1842038851091097
B12;None;;p;12;B;LJ_SM;0,01122783792490660;0,0000000010000000;29,5605042931769155
C1;EC;AM;s;1;C;AM_SM;0,15069100256700188;0,2407692307692308;2,4849319253193722
C2;BA;AM;s;2;C;AM_SM;0,26188884902453852;1,4673846153846153;0,0438586973978251
C3;FP;AM;s;3;C;AM_SM;0,30654842293971396;1,5477692307692308;11,2663189976728386
C4;BT;AM;s;4;C;AM_SM;0,34684807983988397;1,6773846153846155;0,7790439734540582
C5;LJ;AM;s;5;C;AM_SM;0,28058017543995672;1,0867692307692309;2,4495324164037138
C6;LB;AM;s;6;C;AM_SM;0,08310329920297416;0,2593846153846154;8,3621248544968498
C7;BOV;AM;s;7;C;AM_SM;0,06040458112510811;0,4183846153846154;0,9908658167100185
C8;BOB;AM;s;8;C;AM_SM;0,06953082975497593;0,2836923076923077;1,4121253756175767
C9;AM;AM;s;9;C;AM_SM;0,15309734380781162;0,6444615384615384;8,6714431397730181
C10;RI;AM;s;10;C;AM_SM;0,05324973592406490;0,0137692307692308;20,0181736970646220
C12;None;;p;12;C;AM_SM;0,00560858886609620;0,0000000010000000;38,6545129486645891
D1;EC;AM;s;1;D;AM_SM;0,34348485907262410;1,7797692307692308;8,5646350454561428
D2;BA;AM;s;2;D;AM_SM;0,28306954438811127;1,5063846153846152;-0,2551862709068955
D3;FP;AM;s;3;D;AM_SM;0,28530550771435070;1,5147692307692306;11,5816394023427982
D4;BT;AM;s;4;D;AM_SM;0,31232660040238763;1,6804615384615387;0,5445440884113893
D5;LJ;AM;s;5;D;AM_SM;0,25396574961298668;1,0664615384615386;2,1073640371955049
D6;LB;AM;s;6;D;AM_SM;0,05128138714836884;0,2347692307692307;4,4289607723679509
D7;BOV;AM;s;7;D;AM_SM;0,05901778271757503;0,3890000000000000;2,4287525103943803
D8;BOB;AM;s;8;D;AM_SM;0,05006091380859900;0,1444615384615385;2,4237962873485159
